KeyID,MAE,MAPE,MSE,RMSE
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,1.5722883733470239,0.03555589381917448,4.464763573829819,2.11299871600288
416_cloc,1.8623281602200072,0.04134295153788528,6.019575430716524,2.4534823069907237
416_cloc,1.7179654110104055,0.039235416618142636,5.4228251622284445,2.3286960218603983
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,1.7658475425663274,0.04104577581050476,5.351183483335094,2.3132625193295926
416_cloc,1.664424742484326,0.03554026112925141,4.741071326689698,2.1774001301298984
416_cloc,3.1412070169804527,0.07110565678498684,14.06584800550578,3.750446374167451
416_cloc,1.6591323473367527,0.037561797505520675,4.8865878505800335,2.210562790463106
416_cloc,2.256713804023631,0.051840194667769623,7.498375607231847,2.738316199278646
416_cloc,1.7285874709450504,0.03962983428565919,5.857468276487712,2.420220708218098
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,1.9404266882826093,0.04415391304642179,5.921856092865519,2.433486406961321
416_cloc,1.528188307171553,0.03661891178749531,4.604068295498868,2.1457092756239993
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,1.7035556135714893,0.03955868873786831,5.107591747379799,2.259998174198333
416_cloc,0.0,0.0,0.0,0.0
416_cloc,1.4408436652613001,0.031176276798392983,3.674076275334936,1.9167880100143928
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,1.262680028833859,0.028951376743255288,4.586616004937524,2.141638626131291
416_cloc,0.0,0.0,0.0,0.0
416_cloc,0.0,0.0,0.0,0.0
416_cloc,1.0818270893472888,0.024597317967506388,3.076576835500819,1.754017341847229
416_cloc,0.0,0.0,0.0,0.0
489_cloc,1.5973254616332317,0.06704205657013673,4.703987823852217,2.1688678668494807
489_cloc,2.731580937058192,0.10229428338818668,12.12872875749285,3.482632446511238
489_cloc,0.0,0.0,0.0,0.0
489_cloc,0.0,0.0,0.0,0.0
489_cloc,1.5568195926976036,0.05719879383795054,4.109588498924229,2.0272120014749886
489_cloc,0.0,0.0,0.0,0.0
489_cloc,2.659329341140414,0.11147859972840074,10.612398083810588,3.257667583380875
489_cloc,1.486169043779715,0.0522159820366973,4.009681355438983,2.0024188761193256
489_cloc,1.647339227486791,0.0704639481302102,5.786917565237754,2.4056012897481067
489_cloc,1.8446242353791569,0.0767349048465609,6.62414916294828,2.573742248739815
489_cloc,1.7110086478149826,0.06358448546977377,4.835807841291455,2.19904703025912
489_cloc,0.0,0.0,0.0,0.0
489_cloc,0.0,0.0,0.0,0.0
489_cloc,0.0,0.0,0.0,0.0
489_cloc,1.396692865899029,0.05393429515626577,3.680815539409033,1.9185451622020873
489_cloc,1.707450084699218,0.06533954196631626,5.206597959334949,2.2817970898690683
489_cloc,2.088168457849311,0.08457534102811086,7.605544988831473,2.757815256472317
489_cloc,0.0,0.0,0.0,0.0
489_cloc,0.0,0.0,0.0,0.0
489_cloc,1.76037025562603,0.06730496833380008,5.212243263865763,2.2830337850907427
489_cloc,0.0,0.0,0.0,0.0
489_cloc,1.7980975961198715,0.06632590015618602,5.243400480340667,2.289847261356239
489_cloc,1.6761691288305456,0.060825549132901315,5.00142852304769,2.2363873821517797
